ID,Supplier name,Document Date,Document Type,Total with Tax,Currency of Document,Paid,Entry Code
1059755,"תדלק וסע שיווק דלקים בע""מ",12/07/2018,INVOICE,628.69,ILS,Paid,"חס - 1/4 מע""מ"
1059756,"שיפטאורגנייזר בע""מ ",26/07/2018,INVOICE,293,ILS,,"חס - מע""מ מלא"
1059757,"תדלק וסע שיווק דלקים בע""מ",12/07/2018,INVOICE,1597.53,ILS,Paid,"חס - 1/4 מע""מ"
1059763,"פנגו פיי אנד גו בע""מ",26/07/2018,RECEIPT,5.9,ILS,,"חס - מע""מ מלא"
1059764,CAR2GO,31/07/2018,INVOICE,1081.57,ILS,Unknown,"מע""מ 0%"
1059765,"שטראוס מים בע""מ",16/07/2018,INVOICE,3168,ILS,,"חס - מע""מ מלא - תשומות ציוד"
1059771,"שטראוס מים בע""מ",27/06/2018,INVOICE,3492,ILS,,"חס - מע""מ מלא"
1059773,"פנגו פיי אנד גו בע""מ",26/07/2018,RECEIPT,5.9,ILS,,"חס - מע""מ מלא"
1059774,"שיפטאורגנייזר בע""מ ",11/07/2018,RECEIPT,293,ILS,,"חס - מע""מ מלא"
1059777,"חברת פרטנר תקשורת בע""מ",01/07/2018,INVOICE,37680.33,ILS,Unknown,"חס - מע""מ מלא"
1060497,דרך היין מרכז לתרבות היין,01/08/2018,INVOICE,129.9,ILS,Unknown,"חס - מע""מ מלא"
1060500,איתמר חכים,16/07/2018,INVOICE,585,ILS,,"חס - מע""מ מלא"
1060508,General - Food,12/07/2018,INVOICE,217.9,ILS,Paid,"מע""מ 0%"
1060517,"סופר קופיקס בע""מ",15/07/2018,INVOICE,12.1,ILS,Paid,"מע""מ 0%"
1060520,איתמר חכים,01/07/2018,INVOICE,702,ILS,Paid,"חס - מע""מ מלא"
1060523,איתמר חכים,31/07/2018,INVOICE,117,ILS,Unknown,"חס - מע""מ מלא"
1060528,דרך היין מרכז לתרבות היין,05/07/2018,INVOICE,219.8,ILS,,"חס - מע""מ מלא"
1079826,"תדלק וסע שיווק דלקים בע""מ",07/08/2018,INVOICE,704.5,ILS,Unknown,"חס - 1/4 מע""מ"
1079827,"תדלק וסע שיווק דלקים בע""מ",07/08/2018,INVOICE,952.3,ILS,Unknown,"חס - 1/4 מע""מ"
1079828,"תדלק וסע שיווק דלקים בע""מ",07/08/2018,INVOICE,1687.65,ILS,Unknown,"חס - 1/4 מע""מ"
1079829,"תדלק וסע שיווק דלקים בע""מ",07/08/2018,INVOICE,1188.41,ILS,Unknown,"חס - 1/4 מע""מ"
1079830,"רי-גו מרקטינג בע""מ",01/08/2018,INVOICE,4095,ILS,Paid,"חס - מע""מ מלא"
1079831,"שי אשל מערכות מידע ובטחון בע""מ",30/08/2018,INVOICE,889,ILS,Unknown,"חס - מע""מ מלא"
1079833,"שיפטאורגנייזר בע""מ ",28/08/2018,INVOICE,293,ILS,Unknown,"חס - מע""מ מלא"
1079834,"תדמור ושות' פרופ' יובל לוי ושו'ת, עורכי דין",28/08/2018,INVOICE,11632.46,ILS,Paid,"חס - מע""מ מלא"
